Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0001,2024-08-02,C2205,Headphones,106.0,420.21,Pay Pal,Unknown
T0002,2020-02-10,C3156,Coffee Machine,469.0,527.6393144588213,Credit Card,Pending
T0003,2025-03-01,C2919,Tablet,106.0,810.9930123946459,Credit Card,Completed
T0004,2020-08-17,C3009,Tablet,106.0,868.6083413217348,Pay Pal,Pending
T0005,2025-03-01,C3488,Coffee Machine,106.0,527.6393144588213,Pay Pal,Completed
T0006,2021-10-26,C4241,Smartphone,598.0,518.1524235021693,Pay Pal,Completed
T0008,2024-01-01,C4736,Headphones,669.0,525.0927233314231,Cash,Unknown
T0010,2025-03-01,C2846,Laptop,106.0,404.8907066405689,Credit Card,Pending
T0011,2024-01-01,C1004,Laptop,10.0,525.4615540704654,Pay Pal,Completed
T0012,2024-01-01,C2912,Tablet,608.0,519.4941778243674,Pay Pal,Completed
T0013,2020-03-18,C1692,Smartphone,564.0,518.1524235021693,Cash,Completed
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,Credit Card,Failed
T0015,2025-03-01,C3879,Headphones,106.0,523.8427581553709,Credit Card,Pending
T0016,2025-03-01,C2837,Laptop,106.0,525.4615540704654,Credit Card,Pending
T0017,2020-07-07,C3776,Smartphone,236.0,518.1524235021693,Credit Card,Pending
T0018,2025-03-01,C847,Coffee Machine,7.0,527.6393144588213,Credit Card,Completed
T0019,2024-02-19,C4871,Smartphone,106.0,518.1524235021693,Pay Pal,Pending
T0020,2025-03-01,C1924,Headphones,106.0,525.0927233314231,Pay Pal,Unknown
T0021,2025-03-01,C1137,Coffee Machine,856.0,527.6393144588213,Credit Card,Failed
T0022,2024-01-01,C3883,Smartphone,9.0,518.1524235021693,Credit Card,Completed
T0023,2025-03-01,C4877,Tablet,538.0,519.4941778243674,Pay Pal,Completed
T0024,2023-11-03,C828,Coffee Machine,487.0,527.6393144588213,Cash,Unknown
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,Pay Pal,Unknown
T0026,2020-01-01,C1096,Coffee Machine,654.0,527.6393144588213,Pay Pal,Completed
T73466,2025-03-01,C2702,Coffee Machine,106.0,555.6133483579025,Credit Card,Completed
T0028,2025-03-01,C3025,Smartphone,7.0,797.34,Pay Pal,Completed
T0029,2025-03-01,C1345,Smartphone,106.0,518.1524235021693,Pay Pal,Pending
T0030,2021-10-16,C3058,Headphones,5.0,525.0927233314231,Pay Pal,Failed
T0031,2024-07-17,C3672,Tablet,106.0,787.9940762988269,Credit Card,Completed
T0033,2025-03-01,C1844,Coffee Machine,106.0,546.7808345069353,Pay Pal,Failed
T0034,2025-03-01,C1406,Coffee Machine,3.0,527.6393144588213,Credit Card,Completed
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,Credit Card,Completed
T0036,2024-01-01,C292,Laptop,2.0,525.4615540704654,Pay Pal,Completed
T0037,2024-01-01,C2492,Smartphone,106.0,711.71,Pay Pal,Pending
T0038,2020-06-18,C2208,Laptop,8.0,525.4615540704654,Credit Card,Failed
T0039,2024-01-01,C4687,Tablet,9.0,519.4941778243674,Pay Pal,Completed
T0040,2024-01-01,C3328,Headphones,7.0,525.0927233314231,Pay Pal,Failed
T0041,2023-10-20,C1693,Laptop,865.0,525.4615540704654,Credit Card,Completed
T0042,2021-08-04,C4796,Coffee Machine,8.0,527.6393144588213,Credit Card,Failed
T0043,2025-03-01,C4046,Smartphone,106.0,518.1524235021693,Cash,Pending
T0045,2024-01-01,C3393,Smartphone,106.0,653.3867399963707,Credit Card,Pending
T0046,2025-03-01,C2797,Coffee Machine,825.0,527.6393144588213,Pay Pal,Completed
T0047,2025-03-01,C2200,Laptop,106.0,525.4615540704654,Cash,Completed
T0048,2025-03-01,C987,Headphones,106.0,525.0927233314231,Credit Card,Pending
T0049,2020-06-18,C4480,Laptop,762.0,525.4615540704654,Credit Card,Completed
T0051,2025-03-01,C591,Coffee Machine,272.0,527.6393144588213,Cash,Unknown
T0052,2022-12-20,C4029,Headphones,839.0,525.0927233314231,Pay Pal,Pending
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,Credit Card,Failed
T0054,2024-01-01,C642,Tablet,4.0,519.4941778243674,Credit Card,Completed
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,Credit Card,Pending
T0056,2025-03-01,C4020,Coffee Machine,153.0,527.6393144588213,Pay Pal,Completed
T0057,2024-01-01,C627,Laptop,863.0,525.4615540704654,Credit Card,Unknown
T0058,2024-01-01,C3286,Smartphone,469.0,518.1524235021693,Pay Pal,Completed
T0061,2024-01-01,C3123,Headphones,6.0,525.0927233314231,Credit Card,Completed
T0063,2024-01-01,C185,Tablet,106.0,591.2612673906424,Credit Card,Pending
T0064,2025-03-01,C4415,Tablet,587.0,519.4941778243674,Cash,Completed
T0065,2024-01-01,C4884,Smartphone,106.0,261.1,Pay Pal,Pending
T0066,2025-03-01,C4996,Laptop,399.0,416.86425090767176,Pay Pal,Pending
T0067,2024-01-01,C981,Tablet,769.0,519.4941778243674,Cash,Failed
