transaction_id,transaction_date,account_type,transaction_type,amount,currency,merchant_category,region,status,is_flagged
TXN-6633562,2023-01-30,Credit Card,Fee,100381.49,INR,Entertainment,International,Failed,1
TXN-9881822,2024-07-12,NRE,Purchase,132119.5,INR,Grocery,East,Completed,0
TXN-3504074,2023-01-23,Credit Card,Deposit,130668.05,INR,Education,International,Completed,0
TXN-7748350,2023-05-18,Current,Purchase,52736.84,INR,Healthcare,West,Completed,0
TXN-2854374,2023-11-26,Salary,Transfer,65131.09,INR,Utilities,North-East,Completed,0
TXN-8466035,2024-07-16,NRE,Purchase,75438.92,INR,Grocery,North-East,Completed,0
TXN-2038790,2023-07-12,Salary,Refund,133408.25,INR,Utilities,West,Completed,0
TXN-5359126,2024-05-08,Current,Fee,116529.2,INR,Grocery,Central,Completed,0
TXN-7676159,2024-04-11,NRE,Fee,133879.7,INR,Electronics,Central,Completed,0
TXN-8306304,2023-05-19,Credit Card,Withdrawal,148202.26,INR,Entertainment,Central,Completed,0
TXN-7726532,2023-12-11,Savings,Fee,47651.55,INR,Utilities,North-East,Completed,0
TXN-8064982,2023-07-10,Credit Card,Refund,5264.46,INR,Electronics,Central,Completed,0
TXN-6049901,2023-07-26,Savings,Withdrawal,66722.19,INR,Fuel,West,Completed,0
TXN-2153165,2023-04-04,Current,Purchase,67687.95,INR,Dining,International,Failed,0
TXN-3698303,2024-01-07,Salary,Purchase,41201.44,INR,Healthcare,West,Failed,0
TXN-1965273,2024-02-02,Credit Card,Refund,23707.58,INR,Grocery,West,Completed,0
TXN-4592350,2024-05-07,NRE,Fee,12013.94,INR,Entertainment,International,Completed,0
TXN-1093817,2023-08-21,Salary,Refund,18786.6,INR,Fuel,North-East,Completed,0
TXN-5532957,2023-04-09,NRE,Refund,3796.08,INR,Healthcare,North,Failed,0
TXN-2103827,2024-12-18,NRE,Fee,51036.96,INR,Utilities,South,Completed,0
TXN-7823638,2024-10-16,Current,Fee,122341.12,INR,Entertainment,North,Completed,0
TXN-9643288,2023-09-06,Credit Card,Refund,93152.29,INR,Utilities,North-East,Completed,0
TXN-1510531,2023-11-12,Savings,Withdrawal,13686.42,INR,Travel,International,Completed,0
TXN-4365217,2024-10-31,Credit Card,Deposit,101403.06,INR,Online Shopping,Central,Completed,0
TXN-9024545,2024-12-09,NRE,Deposit,75719.95,INR,Dining,Central,Completed,0
TXN-3620343,2023-11-05,Savings,Fee,4091.98,INR,Dining,Central,Completed,0
TXN-3387906,2023-10-26,Salary,Transfer,63275.23,INR,Electronics,North,Completed,0
TXN-3045203,2023-07-10,Savings,Purchase,97243.89,INR,Online Shopping,South,Pending,0
TXN-7267988,2023-03-01,Credit Card,Deposit,36272.14,INR,Fuel,International,Completed,0
TXN-3625750,2024-12-03,Savings,Purchase,17750.01,INR,Online Shopping,South,Completed,0
TXN-1275966,2024-08-28,NRE,Transfer,47696.32,INR,Fuel,Central,Completed,0
TXN-1001702,2023-04-26,NRE,Withdrawal,72630.5,INR,Entertainment,Central,Completed,0
TXN-7158854,2024-08-14,Current,Purchase,16085.45,INR,Dining,Central,Failed,0
TXN-1896516,2024-12-04,Current,Transfer,69912.85,INR,,East,Completed,0
TXN-4105328,2023-07-25,Savings,Withdrawal,89512.63,INR,Electronics,West,Completed,0
TXN-4061515,2023-10-22,Current,Transfer,132439.76,INR,Utilities,North,Completed,0
